id,name,type,level,level_codes,city,state,zip_code,district,latitude,longitude,rating,rating_year,distance
606081,George Nicoloff Elementary School,public,"KG,1,2,3,4,5,6",e,San Ysidro,CA,92173,South Bay Union School District,32.566074,-117.065819,3,2020,23.09736662
631104,Sage Creek High School,public,"9,10,11,12",h,Carlsbad,CA,92010,Carlsbad Unified School District,33.15707,-117.285957,9,2020,23.15144718
612223,San Ysidro High School,public,"9,10,11,12",h,San Diego,CA,92154,Sweetwater Union High School District,32.564159,-117.018349,4,2020,23.15212199
606322,Madison Middle School,public,"6,7,8",m,Oceanside,CA,92056,Vista Unified School District,33.174652,-117.258568,5,2020,23.15989909
606075,Godfrey G. Berry Elementary School,public,"KG,1,2,3,4,5,6",e,San Diego,CA,92154,South Bay Union School District,32.5676,-117.090714,2,2020,23.16478681
606299,La Mirada Elementary School,public,"KG,1,2,3,4,5,6",e,San Ysidro,CA,92173,San Ysidro Elementary School District,32.563625,-117.046509,4,2020,23.19510358
606301,Smythe Elementary School,public,"KG,1,2,3,4,5,6",e,San Ysidro,CA,92173,San Ysidro Elementary School District,32.563396,-117.050255,4,2020,23.22042141
611134,Valley Center Elementary,public,"3,4,5",e,Valley Center,CA,92082,Valley Center-Pauma Unified School District,33.235435,-117.022942,4,2020,23.24493271
612227,Valley Center Prep,public,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",Valley Center,CA,92082,Valley Center-Pauma Unified School District,33.235435,-117.022942,2,2020,23.24493271
606321,Rancho Minerva Middle School,public,"6,7,8",m,Vista,CA,92084,Vista Unified School District,33.203365,-117.206314,3,2020,23.34910957
606300,San Ysidro Middle School,public,"7,8",m,San Ysidro,CA,92173,San Ysidro Elementary School District,32.560375,-117.038643,3,2020,23.4062827
606311,Beaumont Elementary School,public,"KG,1,2,3,4,5",e,Vista,CA,92084,Vista Unified School District,33.198147,-117.223885,4,2020,23.49178359
606302,Sunset Elementary School,public,"KG,1,2,3,4,5,6",e,San Ysidro,CA,92173,San Ysidro Elementary School District,32.557564,-117.050209,5,2020,23.62278574
606313,Breeze Hill Elementary School,public,"KG,1,2,3,4,5",e,Vista,CA,92081,Vista Unified School District,33.185669,-117.254753,8,2020,23.66746182
605869,Kelly Elementary School,public,"KG,1,2,3,4,5",e,Carlsbad,CA,92008,Carlsbad Unified School District,33.148766,-117.311562,9,2020,23.70466775
614745,Calavera Hills Middle School,public,"6,7,8",m,Carlsbad,CA,92010,Carlsbad Unified School District,33.172318,-117.290298,6,2020,24.12702723
612224,Calavera Hills Elementary School,public,"KG,1,2,3,4,5",e,Carlsbad,CA,92010,Carlsbad Unified School District,33.172188,-117.290848,7,2020,24.13986044
617478,"Vista Magnet Middle School Of Technology, Science, And Math",public,"6,7,8",m,Vista,CA,92084,Vista Unified School District,33.203304,-117.237846,7,2020,24.19569637
625347,Willow Elementary,public,"KG,1,2,3,4,5,6",e,San Ysidro,CA,92173,San Ysidro Elementary School District,32.548073,-117.041534,4,2020,24.25980837
605982,Descanso Elementary School,public,"KG,1,2,3,4,5,6",e,Descanso,CA,91916,Mountain Empire Unified School District,32.858994,-116.613556,6,2020,24.37701418
617524,Major General Raymond Murray High School,public,"10,11,12",h,Vista,CA,92083,Vista Unified School District,33.19846,-117.254936,2,2020,24.41681683
605867,Hope Elementary School,public,"KG,1,2,3,4,5",e,Carlsbad,CA,92010,Carlsbad Unified School District,33.170727,-117.304764,8,2020,24.57350218
614143,Foothill Oak Elementary School,public,"KG,1,2,3,4,5",e,Vista,CA,92084,Vista Unified School District,33.217476,-117.222878,4,2020,24.64779972
631146,Bella Mente Montessori Academy,charter,"KG,1,2,3,4,5,6,7,8","e,m",Vista,CA,92083,Vista Unified School District,33.18956,-117.278519,4,2020,24.66659003
