"period_begin","period_end","period_duration","region_type","region_type_id","table_id","is_seasonally_adjusted","region","city","state","state_code","property_type","property_type_id","median_sale_price","median_sale_price_mom","median_sale_price_yoy","median_list_price","median_list_price_mom","median_list_price_yoy","median_ppsf","median_ppsf_mom","median_ppsf_yoy","median_list_ppsf","median_list_ppsf_mom","median_list_ppsf_yoy","homes_sold","homes_sold_mom","homes_sold_yoy","pending_sales","pending_sales_mom","pending_sales_yoy","new_listings","new_listings_mom","new_listings_yoy","inventory","inventory_mom","inventory_yoy","months_of_supply","months_of_supply_mom","months_of_supply_yoy","median_dom","median_dom_mom","median_dom_yoy","avg_sale_to_list","avg_sale_to_list_mom","avg_sale_to_list_yoy","sold_above_list","sold_above_list_mom","sold_above_list_yoy","price_drops","price_drops_mom","price_drops_yoy","off_market_in_two_weeks","off_market_in_two_weeks_mom","off_market_in_two_weeks_yoy","parent_metro_region","parent_metro_region_metro_code","last_updated"
"3/1/2016","5/31/2016",90,"neighborhood",1,117888,"f","San Diego, CA - Oak Park","San Diego","California","CA","Condo/Co-op",3,215000,0.023809524,0.433333333,209500,-0.002380952,0.496428571,241.6184971,0.007065896,0.330319738,245.1876671,0.009939676,0.482740371,11,0.222222222,0.375,2,-0.666666667,0,10,-0.090909091,0.25,2,-0.333333333,-0.6,NA,NA,NA,10,-25,-44.5,0.995898549,0.01974992,0.019502619,0.454545455,0.232323232,0.204545455,NA,NA,NA,0.5,-0.166666667,-0.5,"San Diego, CA",41740,"9/11/2022 14:46"
"9/1/2019","11/30/2019",90,"neighborhood",1,557504,"f","San Diego, CA - Quarry Falls","San Diego","California","CA","Townhouse",13,757623,-0.077255576,0.091675793,809900,0.045710283,0.039598845,528.143471,0.020591728,0.153375973,475.2411576,0.003049,0.054042794,10,-0.090909091,2.333333333,1,0,0,9,-0.25,-0.1,10,-0.090909091,0.428571429,NA,NA,NA,57,7,42,1.016738672,0.000709154,0.010428461,0.4,0.036363636,0.066666667,NA,NA,NA,0,-1,0,"San Diego, CA",41740,"9/11/2022 14:46"
"3/1/2015","5/31/2015",90,"neighborhood",1,110910,"f","San Diego, CA - Clairemont Mesa East","San Diego","California","CA","Condo/Co-op",3,225500,0.002222222,0.108108108,279950,0.124297189,0.166458333,250.6203474,-0.009803922,0.048158,287.6033058,0.011277701,0.117675808,25,-0.074074074,0.388888889,11,1.75,0.833333333,29,0.074074074,0.380952381,10,-0.166666667,-0.230769231,NA,NA,NA,13,-5,-22.5,0.986411124,-0.005620384,0.001831879,0.28,0.020740741,-0.108888889,NA,NA,NA,0.727272727,0.227272727,0.227272727,"San Diego, CA",41740,"9/11/2022 14:46"
"9/1/2017","11/30/2017",90,"neighborhood",1,113106,"f","San Diego, CA - Beach Barber","San Diego","California","CA","Townhouse",13,350000,-0.131513648,-0.870967742,NA,NA,NA,940.8602151,0.19065227,-0.353794319,NA,NA,NA,1,-0.5,-0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,26.5,48,1,-0.006666667,0.033118323,0,-0.5,0,NA,NA,NA,NA,NA,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"7/1/2017","9/30/2017",90,"neighborhood",1,113300,"f","San Diego, CA - Skyline","San Diego","California","CA","Single Family Residential",6,435000,0.018735363,0.076732673,439000,0.004576659,0.078624079,343.2669367,0,0.253670552,336.5774534,-0.047138369,0.191883607,22,0.1,0.294117647,9,2,0.5,21,-0.125,-0.045454545,7,-0.363636364,0,NA,NA,NA,20,0,7,0.999915954,0.010109094,-0.004872846,0.590909091,0.040909091,0.061497326,NA,NA,NA,0.333333333,0,0,"San Diego, CA",41740,"9/11/2022 14:46"
"8/1/2016","10/31/2016",90,"neighborhood",1,547557,"f","San Diego, CA - Scripps Highlands","San Diego","California","CA","All Residential",-1,985000,-0.013026052,-0.005050505,1011950,-0.026034649,0.037897436,303.838297,-0.064849111,-0.06853613,333.0949703,-0.038478688,0.01195519,4,-0.333333333,-0.2,4,1,0.333333333,8,-0.428571429,-0.272727273,3,-0.7,-0.571428571,NA,NA,NA,51,33.5,-33.5,0.971256895,-0.004178964,-0.004401419,0.25,-0.083333333,0.25,NA,NA,NA,0.5,0.5,0.5,"San Diego, CA",41740,"9/11/2022 14:46"
"5/1/2022","7/31/2022",90,"neighborhood",1,112015,"f","San Diego, CA - Valencia Park","San Diego","California","CA","Single Family Residential",6,687500,-0.037788663,0.175213675,649949.5,-0.037111852,0.068205276,463.6868467,-0.065686776,0.083263504,538.0942728,0.129997973,0.192463979,20,-0.047619048,0.538461538,4,-0.333333333,0.333333333,18,-0.28,0.285714286,11,0.1,1.2,NA,NA,NA,28,14.5,11,0.997795145,-0.016820351,-0.019741059,0.55,-0.069047619,0.088461538,NA,NA,NA,0.25,0.083333333,-0.083333333,"San Diego, CA",41740,"9/11/2022 14:46"
"8/1/2015","10/31/2015",90,"neighborhood",1,554643,"f","San Diego, CA - Silver Terrace","San Diego","California","CA","All Residential",-1,295000,0,-0.080996885,297500,0,-0.05027933,283.6538462,0,-0.109041449,287.0288462,-0.103824754,-0.164440197,3,-0.4,0.5,1,-0.666666667,-0.666666667,4,-0.333333333,-0.333333333,2,-0.5,-0.714285714,NA,NA,NA,26,0,8.5,0.979503049,0.001283136,-0.02339378,0,0,-0.5,NA,NA,NA,0,0,-0.333333333,"San Diego, CA",41740,"9/11/2022 14:46"
"11/1/2015","1/31/2016",90,"neighborhood",1,547183,"f","San Diego, CA - Point Loma Peninsula","San Diego","California","CA","Townhouse",13,477500,0.116959064,0.318150449,549000,0.100200401,0.194906954,351.5831135,-0.001858756,-0.017551806,468.8672168,0.019568197,0.37581114,9,0.125,0.5,1,-0.8,-0.666666667,11,-0.153846154,-0.388888889,4,0,-0.5,NA,NA,NA,26,-1,-2.5,0.974419773,-0.004908041,-0.021539012,0,0,-0.166666667,NA,NA,NA,0,-0.2,-1,"San Diego, CA",41740,"9/11/2022 14:46"
"7/1/2012","9/30/2012",90,"neighborhood",1,2392,"f","San Diego, CA - San Ysidro","San Diego","California","CA","All Residential",-1,190000,-0.155555556,0.433962264,2e+05,-0.14893617,-0.073001159,151.4233798,0,0.123337147,167.6508876,0.083371598,0.24434133,33,-0.057142857,-0.175,6,-0.5,0,32,-0.03030303,-0.157894737,27,0.285714286,-0.307692308,NA,NA,NA,19,-8,-8,0.979551155,0.00619742,-0.024650297,0.272727273,-0.041558442,-0.202272727,NA,NA,NA,0.666666667,0.333333333,0.5,"San Diego, CA",41740,"9/11/2022 14:46"
